sample_id,filename,split,relative_path,source_image_path,image_sha256,mask_sha256,source_dataset,foreground_pixels,foreground_ratio
000002__000795__BEE24-33_000381_det06_tr0013,000002__000795__BEE24-33_000381_det06_tr0013.jpg,train,000795\BEE24-33_000381_det06_tr0013.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000002__000795__BEE24-33_000381_det06_tr0013.jpg,328069ba3d5fa9e530ea73eb2baf6d5f193fe1b344663f9d4bdf96706d713ea2,2be39272d913503816c1f819760fabb29ef43e93b6236088cc87c4203536bb28,,656,0.182273
000003__000845__BEE24-33_000339_det26_tr0017,000003__000845__BEE24-33_000339_det26_tr0017.jpg,train,000845\BEE24-33_000339_det26_tr0017.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000003__000845__BEE24-33_000339_det26_tr0017.jpg,aecabffd8106bd55e24d3b5db4f88843a89695292a949a537d9edc50a72e38ed,674c32202ac13025bb6921abd6f5a2ce0d27921f6b390f147d0e3047edd2f999,,958,0.347858
000004__000845__BEE24-33_000338_det26_tr0016,000004__000845__BEE24-33_000338_det26_tr0016.jpg,train,000845\BEE24-33_000338_det26_tr0016.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000004__000845__BEE24-33_000338_det26_tr0016.jpg,2c0a442c5c9c8e0cd5852cfb20d33ce3c122a4ddb1e6bf72125a0e32b9888b81,bebea4b25284b275bae3ca63eefb9ee3434b1ec7218dc6428e9036be8f5ffb47,,669,0.242919
000005__000795__BEE24-33_000332_det09_tr0008,000005__000795__BEE24-33_000332_det09_tr0008.jpg,train,000795\BEE24-33_000332_det09_tr0008.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000005__000795__BEE24-33_000332_det09_tr0008.jpg,5125e09cb2f019a0286dc56ef8e58d7a43fd0105a6fe534d0e9e26f6c05ca36b,471d6f7bec165f6bf9d46c6bdeefbd2e8baa21db94c0825762e1324600283e06,,418,0.146052
000007__001571__BEE24-33_004247_det22_tr0019,000007__001571__BEE24-33_004247_det22_tr0019.jpg,train,001571\BEE24-33_004247_det22_tr0019.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000007__001571__BEE24-33_004247_det22_tr0019.jpg,fef41decdb9e3c44b2cbd88e4d9ffae1cafdde5cf30adc23b9d24b146fbcdd25,10871826658b79267b539350a420380cee8d523d222c8d24f26423e51cd16fc6,,1022,0.357843
000008__001536__BEE24-33_003970_det34_tr0003,000008__001536__BEE24-33_003970_det34_tr0003.jpg,train,001536\BEE24-33_003970_det34_tr0003.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000008__001536__BEE24-33_003970_det34_tr0003.jpg,1fb3a26d18862ae03ef6b89f48953a26bbefdceb2262f902126156904d42d03f,7491f22259009eff39f6b328da12c0313e99eeb4c3718fa24e2873f2b6924fb9,,851,0.287694
000009__001934__BEE24-33_003860_det33_tr0003,000009__001934__BEE24-33_003860_det33_tr0003.jpg,train,001934\BEE24-33_003860_det33_tr0003.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000009__001934__BEE24-33_003860_det33_tr0003.jpg,ddd4b77cee021f404dc5911ce50fe1b24aa42b2dca3ef4c2bcfec4e3d9e98f32,7f0ff8a9f0d0f133ec19c36ba3b5946f0b1708bf2e131955701373f469524ffb,,1199,0.356421
000010__000968__BEE24-33_001311_det40_tr0009,000010__000968__BEE24-33_001311_det40_tr0009.jpg,train,000968\BEE24-33_001311_det40_tr0009.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000010__000968__BEE24-33_001311_det40_tr0009.jpg,97e06e9a6089285ddc3c0a668c56d7847a7e55e36e601e4b2bee4084975fcc8f,b417cb16a811782864648a2a430c4909f414f7e216c222aabde930f0670a85d3,,1569,0.502885
000012__000899__BEE24-33_000387_det32_tr0010,000012__000899__BEE24-33_000387_det32_tr0010.jpg,train,000899\BEE24-33_000387_det32_tr0010.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000012__000899__BEE24-33_000387_det32_tr0010.jpg,52d9aab42a4251207a73761dc88e31411aff3c42ad3d17b0b0e038f6e746c8b9,9deeed618b6cdc9a772ceebc6ed1fe0f7df237ea09503b216c5d514b21281180,,690,0.221154
000013__000539__BEE24-33_000006_det25_tr0004,000013__000539__BEE24-33_000006_det25_tr0004.jpg,train,000539\BEE24-33_000006_det25_tr0004.jpg,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\outputs\cvat_batches\bee33_clear80_20260521\images\000013__000539__BEE24-33_000006_det25_tr0004.jpg,a213f19cc0d69171018046333871deda61134ef560ad4d9514fd43edb69ec592,dc0aed3bbd2ed6c528663f734b8e27a5567fd3bc621f09218fbc3ea0a9c1b4c0,,1284,0.370242
