base_name,combined_filename,filename,foreground_pixels,foreground_ratio,image_path,image_sha256,mask_path,mask_sha256,old_split,relative_path,sample_id,source_dataset,split
000017__BEE24-03_000004_det01_tr0001,000017__BEE24-03_000004_det01_tr0001.jpg,000017__BEE24-03_000004_det01_tr0001.jpg,2896,0.599834,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000017__BEE24-03_000004_det01_tr0001.jpg,26edb3772548890dc8d7aacf76a70fe85bf88ec9f0421bbaf109238202174e49,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000017__BEE24-03_000004_det01_tr0001.png,4c457c1397d096cd58f4b31876d222c43525c181a4bacdd28363449aa28a6b5e,train,000017\BEE24-03_000004_det01_tr0001.jpg,000017__BEE24-03_000004_det01_tr0001,refined_20260521,train
000024__BEE24-04_000044_det01_tr0023,000024__BEE24-04_000044_det01_tr0023.jpg,000024__BEE24-04_000044_det01_tr0023.jpg,2193,0.458020,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000024__BEE24-04_000044_det01_tr0023.jpg,1ffbe1d7956d7086b1d41cd1e751d8e2fea82e84795a86c9f4cdfd68102d5d77,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000024__BEE24-04_000044_det01_tr0023.png,9e597e6fd35e9b8a3bd8d20e2beaa32e029319c5a63e9e8461990dd102679620,train,000024\BEE24-04_000044_det01_tr0023.jpg,000024__BEE24-04_000044_det01_tr0023,refined_20260521,train
000024__BEE24-04_000073_det00_tr0039,000024__BEE24-04_000073_det00_tr0039.jpg,000024__BEE24-04_000073_det00_tr0039.jpg,2825,0.444812,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000024__BEE24-04_000073_det00_tr0039.jpg,b606aed7317d79d1247d43011057de1780ba350f8cc1655ae079fe29888c8d31,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000024__BEE24-04_000073_det00_tr0039.png,0f5561037ec453c84bbba8e40f5b06d267509e5e6f0f2f2d02a04ed6e41da82e,train,000024\BEE24-04_000073_det00_tr0039.jpg,000024__BEE24-04_000073_det00_tr0039,refined_20260521,train
000030__BEE24-05_000005_det00_tr0002,000030__BEE24-05_000005_det00_tr0002.jpg,000030__BEE24-05_000005_det00_tr0002.jpg,2832,0.465025,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000030__BEE24-05_000005_det00_tr0002.jpg,ef9c2318f4c588355b4a8e2941e8d4945006b17a01510c3048ef63503d9e0380,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000030__BEE24-05_000005_det00_tr0002.png,8a1770092f95ad18535a5757ad9b86d747b04453e67d89b2205316fc0b559d89,train,000030\BEE24-05_000005_det00_tr0002.jpg,000030__BEE24-05_000005_det00_tr0002,refined_20260521,train
000041__BEE24-06_000004_det06_tr0001,000041__BEE24-06_000004_det06_tr0001.jpg,000041__BEE24-06_000004_det06_tr0001.jpg,2253,0.469375,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000041__BEE24-06_000004_det06_tr0001.jpg,81c8b4bb704f378f74bce4de69ac46a6bc9513c55f103ce2499bc3ac7fb58cf4,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000041__BEE24-06_000004_det06_tr0001.png,ccf623d972e86d15ce502ae1c1fa1554beef843c46bf92d4a3ba6a58c93badb1,train,000041\BEE24-06_000004_det06_tr0001.jpg,000041__BEE24-06_000004_det06_tr0001,refined_20260521,train
000042__BEE24-06_000046_det07_tr0003,000042__BEE24-06_000046_det07_tr0003.jpg,000042__BEE24-06_000046_det07_tr0003.jpg,2231,0.457923,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000042__BEE24-06_000046_det07_tr0003.jpg,9930783b7a8acd260eacc5607547cc6fb59bc0664215bd03295c00101d4ff334,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000042__BEE24-06_000046_det07_tr0003.png,9be64d49aa2dd11e5cabb5e42faabc50d484bbecf29325f4bbfa2a8396a3c46d,train,000042\BEE24-06_000046_det07_tr0003.jpg,000042__BEE24-06_000046_det07_tr0003,refined_20260521,train
000047__BEE24-07_000034_det04_tr0017,000047__BEE24-07_000034_det04_tr0017.jpg,000047__BEE24-07_000034_det04_tr0017.jpg,2745,0.557021,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000047__BEE24-07_000034_det04_tr0017.jpg,3ab50e638d6fb2a62f3f56a12e40b7fd63ea9e5074439d66052b0e47d40b9b5f,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000047__BEE24-07_000034_det04_tr0017.png,5224ce026f53fe5bd7f01dfd88ede2a662934059c8f5495543b6bd42a1adbb84,train,000047\BEE24-07_000034_det04_tr0017.jpg,000047__BEE24-07_000034_det04_tr0017,refined_20260521,train
000054__BEE24-08_000035_det00_tr0018,000054__BEE24-08_000035_det00_tr0018.jpg,000054__BEE24-08_000035_det00_tr0018.jpg,1840,0.375510,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000054__BEE24-08_000035_det00_tr0018.jpg,d3f248fb2127af49b7c9daac25dc9d3a4b4bca94f14ec2bd5bf16215d0a5c489,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000054__BEE24-08_000035_det00_tr0018.png,b9a2a01b41b334a447f6d9c4c71fd622812470d67cf8a2e5d2b4b47181a657cd,train,000054\BEE24-08_000035_det00_tr0018.jpg,000054__BEE24-08_000035_det00_tr0018,refined_20260521,train
000077__BEE24-10_000036_det04_tr0005,000077__BEE24-10_000036_det04_tr0005.jpg,000077__BEE24-10_000036_det04_tr0005.jpg,2168,0.555897,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000077__BEE24-10_000036_det04_tr0005.jpg,03cba6bfc25fcb17cac84c177cea1f28c501a5d72160cef93013a46962180c13,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000077__BEE24-10_000036_det04_tr0005.png,ee4ca07184740c31c2d8a9a8393a272bfb3c7474805f1a384bfb062cf0106e10,train,000077\BEE24-10_000036_det04_tr0005.jpg,000077__BEE24-10_000036_det04_tr0005,refined_20260521,train
000082__BEE24-10_000035_det09_tr0013,000082__BEE24-10_000035_det09_tr0013.jpg,000082__BEE24-10_000035_det09_tr0013.jpg,2802,0.564919,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000082__BEE24-10_000035_det09_tr0013.jpg,a95bda62ba2ea1f64cfb90d5eb362fa24a5bb3b30b5e6f96da28f78de91834d7,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000082__BEE24-10_000035_det09_tr0013.png,30bffb31c99f89f90caec0ee1da2e8277b3ef3bb34a6b4049d57df8ff5b69f11,train,000082\BEE24-10_000035_det09_tr0013.jpg,000082__BEE24-10_000035_det09_tr0013,refined_20260521,train
000083__BEE24-10_000036_det10_tr0002,000083__BEE24-10_000036_det10_tr0002.jpg,000083__BEE24-10_000036_det10_tr0002.jpg,2315,0.430618,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000083__BEE24-10_000036_det10_tr0002.jpg,1add8618e068d22cd00d4545aa09e109b47e158c87011f652d4e1aa14b74ba50,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000083__BEE24-10_000036_det10_tr0002.png,5780c4c6b9b34bf0cb0d25abafc88d257b6319aa588c36c2c90a2ecfc5ef5114,train,000083\BEE24-10_000036_det10_tr0002.jpg,000083__BEE24-10_000036_det10_tr0002,refined_20260521,train
000095__BEE24-11_000023_det00_tr0012,000095__BEE24-11_000023_det00_tr0012.jpg,000095__BEE24-11_000023_det00_tr0012.jpg,3360,0.533333,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000095__BEE24-11_000023_det00_tr0012.jpg,6b4baaf340a885c6276a4ad9f418eb37cecf772bb4f1e9b24e825496c061bb30,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000095__BEE24-11_000023_det00_tr0012.png,bb3224b20b73fb59dd1d1326cf95179a3aefe08c60cf0cc89e614ed2c7d62e0c,train,000095\BEE24-11_000023_det00_tr0012.jpg,000095__BEE24-11_000023_det00_tr0012,refined_20260521,train
000112__BEE24-14_000184_det07_tr0020,000112__BEE24-14_000184_det07_tr0020.jpg,000112__BEE24-14_000184_det07_tr0020.jpg,2817,0.464239,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000112__BEE24-14_000184_det07_tr0020.jpg,89bbfdee1b6fbd3ce73b9a4bb7889e6ae684a5c39d72911906d4422be48da366,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000112__BEE24-14_000184_det07_tr0020.png,b8bafe8cb201ef2c3ae6619818b8c9736cf932288edfd3ec5b954fbbf08442c1,train,000112\BEE24-14_000184_det07_tr0020.jpg,000112__BEE24-14_000184_det07_tr0020,refined_20260521,train
000121__BEE24-14_000027_det18_tr0009,000121__BEE24-14_000027_det18_tr0009.jpg,000121__BEE24-14_000027_det18_tr0009.jpg,2223,0.513158,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000121__BEE24-14_000027_det18_tr0009.jpg,7b2a463882fcb50ee1ce16e8ab3bb8620a73dbd082b48ce745f9e1d5784dfe38,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000121__BEE24-14_000027_det18_tr0009.png,682ca789c476505220195807209ecd8599ae4d19a653115f0d792d320d8be873,train,000121\BEE24-14_000027_det18_tr0009.jpg,000121__BEE24-14_000027_det18_tr0009,refined_20260521,train
000183__BEE24-15_000075_det09_tr0009,000183__BEE24-15_000075_det09_tr0009.jpg,000183__BEE24-15_000075_det09_tr0009.jpg,2080,0.488722,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000183__BEE24-15_000075_det09_tr0009.jpg,53f7c9a6780c740003d200e62666a684ab4f6c6cbb9bcb63c2a7b4dfc804983b,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000183__BEE24-15_000075_det09_tr0009.png,904d518dee5485a01547915409a081f0651feefebedcd2259c8cfeed8ed8ede2,train,000183\BEE24-15_000075_det09_tr0009.jpg,000183__BEE24-15_000075_det09_tr0009,refined_20260521,train
000217__BEE24-17_000003_det02_tr0001,000217__BEE24-17_000003_det02_tr0001.jpg,000217__BEE24-17_000003_det02_tr0001.jpg,3107,0.571981,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000217__BEE24-17_000003_det02_tr0001.jpg,31c4b08ca249ccfa5dbf90459fdbafa12898bdddebd31fd3c4d38ab87abcf68e,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000217__BEE24-17_000003_det02_tr0001.png,6c5f55f2d33e02b50807f840fe06381887d943d58265cc39093347cb4f91e514,train,000217\BEE24-17_000003_det02_tr0001.jpg,000217__BEE24-17_000003_det02_tr0001,refined_20260521,train
000225__BEE24-17_000027_det06_tr0002,000225__BEE24-17_000027_det06_tr0002.jpg,000225__BEE24-17_000027_det06_tr0002.jpg,2709,0.456984,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000225__BEE24-17_000027_det06_tr0002.jpg,addc6d3932e1f5d22644acb4289dbe5305fe4f4c94a39ccc3958d33bd0aa8dbe,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000225__BEE24-17_000027_det06_tr0002.png,cb12c83d13841b4932a17001b5c92dcd7a4c1be33d69f1fd8a8f7f552f380a36,train,000225\BEE24-17_000027_det06_tr0002.jpg,000225__BEE24-17_000027_det06_tr0002,refined_20260521,train
000225__BEE24-17_000028_det05_tr0003,000225__BEE24-17_000028_det05_tr0003.jpg,000225__BEE24-17_000028_det05_tr0003.jpg,3066,0.460084,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000225__BEE24-17_000028_det05_tr0003.jpg,82f464342488d7e31db712698f5078ba67862fbed00b5c76fe8c78dac782e81f,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000225__BEE24-17_000028_det05_tr0003.png,9b51be028d133c6fa612b414bbdce3c3e9123a937d288f5c11c73553b6be30e9,train,000225\BEE24-17_000028_det05_tr0003.jpg,000225__BEE24-17_000028_det05_tr0003,refined_20260521,train
000225__BEE24-17_000030_det05_tr0004,000225__BEE24-17_000030_det05_tr0004.jpg,000225__BEE24-17_000030_det05_tr0004.jpg,2413,0.331638,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000225__BEE24-17_000030_det05_tr0004.jpg,31266b6c4aad031b1ee237210986936f4592623d42afe5c9a796dd476220e056,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000225__BEE24-17_000030_det05_tr0004.png,06627cc945294424025903ad964493408bba6c33492f7152bd31bfec121fff03,train,000225\BEE24-17_000030_det05_tr0004.jpg,000225__BEE24-17_000030_det05_tr0004,refined_20260521,train
000228__BEE24-17_000036_det08_tr0000,000228__BEE24-17_000036_det08_tr0000.jpg,000228__BEE24-17_000036_det08_tr0000.jpg,2959,0.493660,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\images\000228__BEE24-17_000036_det08_tr0000.jpg,c800f888592ff7a69ef0a5fcb22db113562e87e824f56206ccfa9c32db718b93,D:\personal_resources\CV_research\boxmot\bee_foreground_segmentation_release\data\bee_foreground_refined_20260521\dataset\train\masks\000228__BEE24-17_000036_det08_tr0000.png,a92fe54297c8f02a90f2c6d56bd65854736159ef895a4acc0df5329fd079b17a,train,000228\BEE24-17_000036_det08_tr0000.jpg,000228__BEE24-17_000036_det08_tr0000,refined_20260521,train
