epoch,lr,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,val_precision,val_recall
87,0.000100,0.407975,0.403623,0.803443,0.806620,0.891010,0.892960,0.893234,0.892687
88,0.000100,0.384010,0.400417,0.808952,0.807343,0.894387,0.893403,0.875387,0.912176
89,0.000099,0.380031,0.395671,0.813752,0.806125,0.897313,0.892657,0.863329,0.924048
90,0.000099,0.385611,0.400087,0.808080,0.807434,0.893854,0.893459,0.891257,0.895671
91,0.000098,0.363709,0.399724,0.817897,0.805542,0.899828,0.892300,0.865621,0.920676
92,0.000098,0.371197,0.403575,0.816829,0.807574,0.899181,0.893545,0.884044,0.903252
93,0.000097,0.378692,0.392520,0.814333,0.810256,0.897666,0.895184,0.878652,0.912350
94,0.000096,0.360158,0.403509,0.819956,0.803478,0.901072,0.891032,0.874810,0.907866
95,0.000095,0.349561,0.400553,0.823639,0.807375,0.903292,0.893423,0.875458,0.912141
96,0.000093,0.366149,0.382771,0.817508,0.815853,0.899592,0.898589,0.886890,0.910601
97,0.000092,0.330234,0.390405,0.831572,0.808280,0.908042,0.893977,0.866232,0.923557
98,0.000090,0.340721,0.397189,0.826870,0.808238,0.905231,0.893951,0.876782,0.911805
99,0.000089,0.343399,0.407949,0.827188,0.808298,0.905422,0.893988,0.882689,0.905580
100,0.000087,0.356749,0.393757,0.820947,0.810232,0.901670,0.895169,0.883471,0.907181
101,0.000085,0.358199,0.386373,0.821078,0.813130,0.901749,0.896935,0.878918,0.915706
102,0.000083,0.331969,0.406672,0.831890,0.813690,0.908231,0.897276,0.898749,0.895807
103,0.000081,0.322646,0.409488,0.834710,0.809334,0.909909,0.894621,0.883983,0.905518
104,0.000079,0.338771,0.409441,0.828544,0.807885,0.906233,0.893735,0.890766,0.896724
105,0.000077,0.322254,0.401240,0.835902,0.810369,0.910617,0.895253,0.881015,0.909959
106,0.000075,0.321735,0.403838,0.836893,0.812062,0.911205,0.896285,0.889006,0.903684
107,0.000073,0.311309,0.402078,0.838581,0.812556,0.912205,0.896586,0.884912,0.908572
108,0.000070,0.321292,0.395581,0.836455,0.813099,0.910946,0.896916,0.878976,0.915604
109,0.000068,0.311516,0.401481,0.840303,0.814948,0.913222,0.898040,0.895018,0.901083
110,0.000065,0.312226,0.407953,0.839913,0.811673,0.912992,0.896048,0.891371,0.900773
111,0.000063,0.312973,0.387770,0.839206,0.813463,0.912574,0.897138,0.878110,0.917008
112,0.000060,0.308687,0.392520,0.841931,0.812253,0.914183,0.896402,0.885583,0.907488
113,0.000058,0.309633,0.399033,0.843030,0.814942,0.914831,0.898036,0.892426,0.903718
114,0.000055,0.294367,0.395598,0.848066,0.813890,0.917788,0.897397,0.885628,0.909484
115,0.000053,0.290875,0.393757,0.849519,0.811819,0.918637,0.896137,0.872018,0.921628
116,0.000050,0.290444,0.398897,0.849594,0.813844,0.918682,0.897369,0.889689,0.905184
