epoch,lr,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,val_precision,val_recall
1,0.000300,0.862722,0.637896,0.629043,0.709568,0.772285,0.830114,0.764894,0.907492
2,0.000300,0.629676,0.583643,0.720728,0.742223,0.837702,0.852041,0.857738,0.846419
3,0.000299,0.584036,0.572330,0.734429,0.733663,0.846883,0.846374,0.790717,0.910459
4,0.000298,0.530636,0.596321,0.757205,0.725641,0.861829,0.841011,0.805399,0.879917
5,0.000297,0.534098,0.617639,0.750546,0.722950,0.857499,0.839201,0.762235,0.933455
6,0.000296,0.506893,0.516472,0.764145,0.757777,0.866306,0.862199,0.852334,0.872295
7,0.000294,0.505523,0.564467,0.765789,0.745388,0.867362,0.854123,0.892452,0.818950
8,0.000293,0.468655,0.487790,0.777948,0.770111,0.875107,0.870127,0.850441,0.890746
9,0.000291,0.491898,0.497986,0.767589,0.766829,0.868515,0.868029,0.856891,0.879460
10,0.000289,0.467574,0.470870,0.779579,0.778256,0.876139,0.875303,0.869857,0.880817
11,0.000286,0.454277,0.513447,0.784585,0.757697,0.879291,0.862147,0.810601,0.920694
12,0.000284,0.448392,0.506349,0.788996,0.763557,0.882054,0.865929,0.883136,0.849379
13,0.000281,0.416006,0.477359,0.800502,0.774804,0.889199,0.873115,0.859476,0.887194
14,0.000278,0.419880,0.473042,0.798602,0.777079,0.888025,0.874557,0.890120,0.859530
15,0.000275,0.410252,0.485210,0.806788,0.776716,0.893063,0.874328,0.888582,0.860523
16,0.000271,0.413457,0.577391,0.804764,0.750839,0.891822,0.857690,0.868285,0.847352
17,0.000268,0.417011,0.491522,0.800050,0.773630,0.888919,0.872369,0.867619,0.877171
18,0.000264,0.396943,0.512908,0.810487,0.768686,0.895325,0.869217,0.901217,0.839411
19,0.000260,0.389605,0.502256,0.812926,0.778401,0.896811,0.875394,0.877347,0.873451
20,0.000256,0.411817,0.500985,0.803692,0.764786,0.891163,0.866718,0.861041,0.872470
21,0.000252,0.399563,0.443779,0.809771,0.789309,0.894888,0.882250,0.861843,0.903647
22,0.000247,0.378317,0.464007,0.817914,0.780708,0.899838,0.876851,0.846822,0.909088
23,0.000243,0.345579,0.460747,0.832785,0.792697,0.908765,0.884363,0.880257,0.888507
24,0.000238,0.344095,0.468911,0.833719,0.782889,0.909320,0.878225,0.844985,0.914189
25,0.000233,0.344304,0.455626,0.834689,0.792588,0.909897,0.884294,0.883961,0.884628
26,0.000228,0.336442,0.449188,0.836487,0.789488,0.910964,0.882362,0.877062,0.887727
27,0.000223,0.327704,0.488968,0.841261,0.776391,0.913788,0.874122,0.840944,0.910026
28,0.000218,0.344968,0.462231,0.834748,0.783892,0.909932,0.878856,0.863139,0.895156
29,0.000213,0.316123,0.450169,0.848230,0.795179,0.917884,0.885905,0.889225,0.882610
30,0.000207,0.298565,0.497803,0.855443,0.782877,0.922090,0.878218,0.860661,0.896506
31,0.000202,0.318076,0.451584,0.845788,0.788760,0.916452,0.881907,0.851994,0.913997
32,0.000196,0.298249,0.450032,0.852609,0.794783,0.920441,0.885659,0.888870,0.882471
33,0.000191,0.298098,0.476875,0.854525,0.781632,0.921557,0.877434,0.874685,0.880200
34,0.000185,0.281857,0.463772,0.863183,0.793892,0.926568,0.885105,0.873050,0.897498
35,0.000179,0.279290,0.443323,0.862636,0.797855,0.926253,0.887563,0.890944,0.884207
36,0.000173,0.281025,0.455603,0.861168,0.792353,0.925406,0.884149,0.889800,0.878569
