model,threshold,iou,dice,precision,recall,macro_iou,macro_dice,summary
A_current_256_resize,0.35,0.7927691873854397,0.8844074217290715,0.8545608835524483,0.9164142614601019,0.7725847597671599,0.8667994679011524,outputs\matrix_runs_20260516\threshold_sweep\A_current_256_resize_t0.35\summary.json
A_current_256_resize,0.4,0.7969047845977888,0.8869749709928725,0.8664378238341969,0.908509337860781,0.7766832144456048,0.8695359855452279,outputs\matrix_runs_20260516\threshold_sweep\A_current_256_resize_t0.40\summary.json
A_current_256_resize,0.45,0.7993571226110713,0.8884919092115671,0.8771324959964001,0.9001494057724958,0.7791058409861659,0.8711900698911962,outputs\matrix_runs_20260516\threshold_sweep\A_current_256_resize_t0.45\summary.json
A_current_256_resize,0.5,0.8007929004909884,0.889378118130798,0.8871276157271333,0.8916400679117148,0.7806764676449374,0.8723558760575355,outputs\matrix_runs_20260516\threshold_sweep\A_current_256_resize_t0.50\summary.json
A_current_256_resize,0.55,0.8003472542898834,0.8891032020437267,0.895513134054851,0.8827843803056027,0.780170445530404,0.8720200563809524,outputs\matrix_runs_20260516\threshold_sweep\A_current_256_resize_t0.55\summary.json
A_current_256_resize,0.6,0.7986138281817674,0.888032567823736,0.9032810952437816,0.8732903225806452,0.7783721740518873,0.8708928699720568,outputs\matrix_runs_20260516\threshold_sweep\A_current_256_resize_t0.60\summary.json
A_current_256_resize,0.65,0.7955999072873403,0.886166126494486,0.9111610121460394,0.8625059422750424,0.7753964404812691,0.8689110331160226,outputs\matrix_runs_20260516\threshold_sweep\A_current_256_resize_t0.65\summary.json
B_resnet18_384_resize,0.35,0.7970273619183872,0.8870508917210183,0.8705052433379534,0.9042376910016978,0.7737418710557646,0.8670724285138235,outputs\matrix_runs_20260516\threshold_sweep\B_resnet18_384_resize_t0.35\summary.json
B_resnet18_384_resize,0.4,0.7980376371747302,0.8876762317708684,0.8801150852458579,0.8953684210526316,0.7745404123045666,0.8674902781910845,outputs\matrix_runs_20260516\threshold_sweep\B_resnet18_384_resize_t0.40\summary.json
B_resnet18_384_resize,0.45,0.7982116299138865,0.8877838588465937,0.8898797745602424,0.88569779286927,0.7745696587933496,0.8674840697111283,outputs\matrix_runs_20260516\threshold_sweep\B_resnet18_384_resize_t0.45\summary.json
B_resnet18_384_resize,0.5,0.7971860749638527,0.8871491784509701,0.8984143785296964,0.8761629881154499,0.7731329128453654,0.8663754316231229,outputs\matrix_runs_20260516\threshold_sweep\B_resnet18_384_resize_t0.50\summary.json
B_resnet18_384_resize,0.55,0.7960273160996602,0.8864311906217012,0.9069521224437591,0.8668183361629881,0.7715045422565711,0.865079972044217,outputs\matrix_runs_20260516\threshold_sweep\B_resnet18_384_resize_t0.55\summary.json
B_resnet18_384_resize,0.6,0.7938070453345403,0.8850528794600618,0.9143183990269049,0.8576027164685909,0.7687812161589214,0.8631018030212277,outputs\matrix_runs_20260516\threshold_sweep\B_resnet18_384_resize_t0.60\summary.json
B_resnet18_384_resize,0.65,0.7904660533718544,0.8829723991507431,0.9217879571481344,0.8472937181663837,0.7647909132435025,0.8603008195851867,outputs\matrix_runs_20260516\threshold_sweep\B_resnet18_384_resize_t0.65\summary.json
C_resnet34_384_resize,0.35,0.7906146227789106,0.8830650802481789,0.8476038198976947,0.9216230899830221,0.7670335597934721,0.86380818070013,outputs\matrix_runs_20260516\threshold_sweep\C_resnet34_384_resize_t0.35\summary.json
